Applicant ID,School Name,GPA,Degree,Location,Gender,Veteran status,Work authorization,Disability,Ethnicity,Role 1,Start 1,End 1,Role 2,Start 2,End 2,Role 3,Start 3,End 3
128,Providence University,3.36,Bachelors,Boston,F,0,0,0,1,Data scientist,08/22,N/A,ML Engineer,01/22,03/22,Lawyer,04/21,08/21
129,State Providence College,2.24,Phd,Miami,N/A,1,0,N/A,1,Lawyer,03/23,N/A,Senior SWE,06/22,11/22,ML Engineer,10/21,08/22
130,Providence University,3.03,Masters,Providence,M,0,0,0,4,Data scientist,05/20,12/20,N/A,N/A,N/A,N/A,N/A,N/A
131,Providence University,3.68,Phd,Los Angeles,F,N/A,1,1,4,Lawyer,03/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
132,Providence School,2.4,Bachelors,Providence,N/A,1,1,N/A,4,Junior SWE,04/21,08/21,ML Engineer,10/20,11/20,Research Assistant,02/20,07/20
133,Providence School,2.57,Bachelors,Chicago,N/A,0,0,N/A,3,Junior SWE,12/23,01/24,Data scientist,03/23,10/23,Lawyer,07/22,03/23
134,Providence School,2.84,Masters,Providence,M,0,0,0,0,Lawyer,09/20,12/20,ML Engineer,02/20,07/20,Lawyer,04/19,12/19
135,State Providence College,2.6,Phd,Providence,F,0,0,1,1,Data scientist,09/20,02/21,Data scientist,11/19,06/20,Teaching Assistant,03/19,10/19
136,Providence University,2.18,Phd,Chicago,N/A,N/A,1,N/A,1,Senior SWE,05/23,N/A,Senior SWE,07/22,04/23,Junior SWE,12/21,11/22
137,Providence School,2.83,Bachelors,Los Angeles,N/A,1,0,1,1,Lawyer,12/21,07/22,Research Assistant,04/21,10/21,Teaching Assistant,06/20,01/21
138,Providence School,2.38,Masters,Chicago,M,0,0,1,0,Senior SWE,10/21,11/21,Data scientist,04/21,09/21,Senior SWE,05/20,11/20
139,Providence School,2.99,Phd,Chicago,M,0,0,N/A,1,Data scientist,07/22,N/A,Senior SWE,10/21,05/22,ML Engineer,01/21,10/21
140,Providence School,2.43,Bachelors,Providence,N/A,0,0,0,3,Data scientist,10/22,05/23,Senior SWE,10/21,08/22,Lawyer,06/21,02/22
141,Providence State University,3.42,Bachelors,Los Angeles,N/A,0,1,1,3,Data scientist,07/22,N/A,Teaching Assistant,11/21,06/22,Teaching Assistant,05/21,07/21
142,Providence University,2.49,Masters,Boston,N/A,0,0,0,4,Data scientist,06/23,N/A,Lawyer,09/22,01/23,Teaching Assistant,12/21,09/22
143,Providence University,2.67,Masters,Los Angeles,N/A,N/A,0,N/A,3,Lawyer,04/22,07/22,Senior SWE,06/21,01/22,ML Engineer,04/21,04/21
144,Providence School,3.13,Masters,Boston,N/A,1,0,0,2,Senior SWE,03/22,05/22,Data scientist,05/21,12/21,ML Engineer,11/20,06/21
145,State Providence College,2.31,Phd,Miami,F,N/A,1,1,1,Junior SWE,09/23,11/23,Lawyer,12/22,05/23,Research Assistant,04/22,03/23
146,Providence University,2.89,Phd,Boston,M,0,0,0,3,Senior SWE,08/22,08/23,Lawyer,01/22,04/22,Lawyer,08/21,12/21
147,State Providence College,3.32,Masters,Boston,N/A,N/A,0,N/A,3,Junior SWE,02/21,09/21,Senior SWE,03/20,01/21,N/A,N/A,N/A
148,Providence School,2.16,Masters,Miami,N/A,N/A,0,1,4,Senior SWE,01/20,N/A,ML Engineer,03/19,10/19,Research Assistant,12/18,03/19
149,Providence School,2.87,Phd,Miami,M,1,1,0,3,Data scientist,02/21,01/22,ML Engineer,02/20,10/20,Data scientist,08/19,07/20
150,Providence University,2.9,Masters,Miami,M,0,0,N/A,1,Data scientist,03/21,N/A,N/A,N/A,N/A,N/A,N/A,N/A
151,Providence School,3.11,Masters,Boston,N/A,N/A,1,1,3,Lawyer,11/20,01/21,Lawyer,02/20,07/20,Senior SWE,06/19,02/20
152,State Providence College,2.31,Phd,Providence,F,1,1,N/A,4,ML Engineer,03/21,N/A,Senior SWE,07/20,11/20,Senior SWE,09/19,08/20
153,Providence School,2.27,Phd,Boston,N/A,1,0,1,2,Senior SWE,11/20,02/21,Teaching Assistant,02/20,08/20,N/A,N/A,N/A
154,Providence School,3.01,Phd,Miami,N/A,0,0,N/A,1,Senior SWE,07/21,08/21,ML Engineer,08/20,04/21,Junior SWE,06/20,12/20
155,Providence University,2.92,Phd,Chicago,N/A,0,0,0,3,Senior SWE,10/23,07/24,Teaching Assistant,02/23,07/23,Research Assistant,05/22,02/23
156,Providence State University,2.9,Bachelors,Chicago,F,0,1,0,1,ML Engineer,02/23,N/A,Senior SWE,08/22,01/23,N/A,N/A,N/A
157,State Providence College,2.94,Bachelors,Providence,N/A,0,0,N/A,4,Data scientist,07/22,06/23,Senior SWE,08/21,03/22,Junior SWE,01/21,12/21
158,Providence State University,2.53,Phd,Boston,N/A,1,0,N/A,3,Junior SWE,07/23,N/A,Research Assistant,01/23,05/23,Junior SWE,06/22,08/22
159,Providence School,2.89,Bachelors,Boston,F,1,1,1,3,Lawyer,10/20,09/21,Lawyer,02/20,09/20,N/A,N/A,N/A
160,State Providence College,2.92,Bachelors,Chicago,N/A,N/A,0,1,0,Junior SWE,08/22,N/A,Research Assistant,11/21,07/22,Senior SWE,06/21,10/21
161,Providence School,2.51,Phd,Boston,N/A,1,0,N/A,1,Lawyer,09/21,03/22,Teaching Assistant,02/21,07/21,Data scientist,03/20,03/21
162,Providence State University,3.55,Bachelors,Providence,N/A,N/A,1,0,1,Senior SWE,05/23,01/24,Research Assistant,09/22,01/23,Senior SWE,01/22,05/22
163,Providence State University,2.99,Masters,Miami,F,1,0,0,0,Data scientist,09/22,N/A,N/A,N/A,N/A,N/A,N/A,N/A
164,State Providence College,2.32,Bachelors,Chicago,N/A,0,0,0,4,Senior SWE,01/23,06/23,Lawyer,06/22,08/22,Teaching Assistant,07/21,01/22
165,Providence School,3.06,Masters,Providence,N/A,1,1,N/A,3,Data scientist,11/22,08/23,Junior SWE,03/22,06/22,Senior SWE,10/21,04/22
166,Providence State University,2.41,Phd,Chicago,N/A,0,1,0,3,Lawyer,12/20,01/21,Research Assistant,02/20,07/20,Senior SWE,12/19,04/20
167,State Providence College,3.11,Bachelors,Boston,M,N/A,1,0,4,Lawyer,02/20,01/21,Teaching Assistant,08/19,09/19,Research Assistant,10/18,02/19
168,Providence School,3.26,Bachelors,Boston,N/A,0,1,0,1,Junior SWE,11/21,N/A,ML Engineer,04/21,10/21,N/A,N/A,N/A
169,Providence School,2.47,Phd,Miami,N/A,N/A,0,0,2,ML Engineer,09/22,N/A,ML Engineer,11/21,08/22,N/A,N/A,N/A
170,State Providence College,3.19,Phd,Los Angeles,M,0,0,1,3,Data scientist,05/20,07/20,ML Engineer,08/19,12/19,Teaching Assistant,02/19,10/19
171,Providence School,2.97,Phd,Boston,F,1,1,N/A,0,Data scientist,11/21,05/22,Data scientist,11/20,08/21,Teaching Assistant,05/20,05/21
172,Providence State University,3.13,Masters,Los Angeles,F,0,0,N/A,0,Lawyer,06/22,02/23,Senior SWE,07/21,04/22,Research Assistant,04/21,07/21
173,Providence State University,3.56,Masters,Miami,F,1,1,0,3,Junior SWE,02/21,12/21,Lawyer,07/20,09/20,N/A,N/A,N/A
174,State Providence College,2.7,Phd,Providence,N/A,1,1,1,1,Junior SWE,05/20,10/20,ML Engineer,11/19,03/20,Senior SWE,11/18,06/19
175,Providence University,2.5,Phd,Miami,N/A,1,1,0,4,Lawyer,07/21,N/A,Junior SWE,01/21,05/21,Data scientist,04/20,11/20
176,Providence School,2.44,Phd,Providence,M,0,1,1,1,Junior SWE,03/22,N/A,ML Engineer,03/21,01/22,Junior SWE,09/20,08/21
177,Providence State University,2.47,Masters,Los Angeles,F,1,1,0,1,Senior SWE,08/23,05/24,N/A,N/A,N/A,N/A,N/A,N/A
178,Providence State University,2.77,Phd,Miami,M,0,0,0,2,ML Engineer,01/20,N/A,Senior SWE,05/19,12/19,ML Engineer,07/18,02/19
179,Providence State University,2.94,Phd,Providence,F,0,0,N/A,2,ML Engineer,12/22,N/A,Teaching Assistant,01/22,08/22,Junior SWE,10/21,04/22
180,Providence State University,2.91,Phd,Boston,F,0,1,1,2,Junior SWE,12/22,N/A,Senior SWE,05/22,07/22,Teaching Assistant,06/21,04/22
181,Providence School,3.13,Masters,Los Angeles,N/A,1,1,N/A,3,Junior SWE,05/21,05/22,Research Assistant,10/20,03/21,Teaching Assistant,05/20,07/20
182,Providence University,2.81,Bachelors,Miami,M,1,1,N/A,1,Lawyer,09/20,N/A,Teaching Assistant,09/19,08/20,Junior SWE,07/19,11/19
183,Providence School,3.38,Bachelors,Miami,F,0,0,N/A,2,ML Engineer,03/23,10/23,Teaching Assistant,03/22,01/23,ML Engineer,11/21,04/22
184,Providence School,2.69,Bachelors,Chicago,F,0,1,0,3,Data scientist,09/23,N/A,Research Assistant,09/22,08/23,Senior SWE,07/22,03/23
185,State Providence College,3.89,Bachelors,Boston,M,1,1,1,1,Junior SWE,02/21,N/A,Lawyer,03/20,01/21,Data scientist,12/19,04/20
